,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,4,1,1.0,3.3700000000000006,1,billboard_image_1,health_5_text_driving_neu
1,0.0,2.0,2,1,2,2.0,0.5799999999999983,2,billboard_image_2,commercial_2_burger_emo
2,0.0,3.0,3,2,3,3.0,1.8200000000000003,3,billboard_image_3,health_2_buckle_up_emo
3,0.0,4.0,4,2,4,4.0,1.9799999999999969,4,billboard_image_4,commercial_6_hotel_neu
4,0.0,5.0,5,2,5,5.0,2.1099999999999994,5,billboard_image_5,health_8_sun_protection_neu
5,0.0,6.0,6,1,6,6.0,0.6200000000000045,6,billboard_image_6,health_10_vaccination_neu
6,0.0,7.0,7,1,7,7.0,0.960000000000008,7,billboard_image_7,health_14_healthy_diet_emo
7,0.0,8.0,8,1,8,8.0,1.7199999999999989,8,billboard_image_8,health_11_vaping_neu
8,0.0,9.0,9,1,9,9.0,2.1500000000000057,9,billboard_image_9,health_4_HIV_neu
9,0.0,10.0,10,2,10,10.0,1.25,10,billboard_image_10,commercial_3_coffee_emo
10,0.0,11.0,11,2,11,11.0,1.25,11,billboard_image_11,health_12_marijuana_neu
11,0.0,12.0,12,2,12,12.0,2.159999999999968,12,billboard_image_12,commercial_1_brunch_neu
12,0.0,13.0,13,2,13,13.0,1.1199999999999761,13,billboard_image_13,commercial_4_education_donation_emo
13,0.0,14.0,14,1,14,14.0,1.5300000000000011,14,billboard_image_14,health_7_smoking_emo
14,0.0,15.0,15,2,15,15.0,0.6100000000000136,15,billboard_image_15,health_3_diabetes_emo
15,0.0,16.0,16,2,16,16.0,0.6400000000000148,16,billboard_image_16,health_9_wash_hands_neu
16,0.0,17.0,17,3,17,17.0,1.6599999999999966,17,billboard_image_17,health_1_binge_drinking_emo
17,0.0,18.0,18,1,18,18.0,0.2699999999999818,18,billboard_image_18,health_13_tech_addiction_neu
18,0.0,19.0,19,3,19,19.0,2.6399999999999864,19,billboard_image_19,commercial_5_furniture_emo
19,0.0,20.0,20,2,20,20.0,1.2899999999999636,20,billboard_image_20,health_6_drugged_driving_emo
