,zeros,bbnums,fix_bill,billboard#_fixated_count,billboard,billboard#,billboard#_duration,position_index,billboard_named_position,billboard_image_at_position_text
0,0.0,1.0,1,2,1,1.0,1.8299999999999996,1,billboard_image_1,commercial_3_coffee_emo
1,0.0,2.0,2,2,2,2.0,1.9600000000000009,2,billboard_image_2,health_2_buckle_up_emo
2,0.0,3.0,3,5,3,3.0,3.5700000000000145,3,billboard_image_3,health_8_sun_protection_emo
3,0.0,4.0,4,5,4,4.0,2.770000000000003,4,billboard_image_4,commercial_2_burger_neu
4,0.0,5.0,5,1,5,5.0,2.710000000000008,5,billboard_image_5,health_3_diabetes_emo
5,0.0,6.0,6,4,6,6.0,3.3299999999999983,6,billboard_image_6,health_5_text_driving_neu
6,0.0,7.0,7,1,7,7.0,4.3300000000000125,7,billboard_image_7,health_4_HIV_emo
7,0.0,8.0,8,2,8,8.0,4.490000000000009,8,billboard_image_8,health_12_marijuana_neu
8,0.0,9.0,9,5,9,9.0,4.8300000000000125,9,billboard_image_9,health_10_vaccination_emo
9,0.0,10.0,10,2,10,10.0,4.870000000000033,10,billboard_image_10,health_14_healthy_diet_neu
10,0.0,11.0,11,3,11,11.0,4.740000000000009,11,billboard_image_11,health_11_vaping_emo
11,0.0,12.0,12,1,12,12.0,2.7099999999999795,12,billboard_image_12,commercial_6_hotel_neu
12,0.0,13.0,13,4,13,13.0,2.2400000000000375,13,billboard_image_13,health_6_drugged_driving_emo
13,0.0,14.0,14,4,14,14.0,1.9199999999999875,14,billboard_image_14,health_9_wash_hands_neu
14,0.0,15.0,15,3,15,15.0,2.8799999999999955,15,billboard_image_15,health_7_smoking_neu
15,0.0,16.0,16,3,16,16.0,2.999999999999943,16,billboard_image_16,health_13_tech_addiction_emo
16,0.0,17.0,17,5,17,17.0,2.9699999999999704,17,billboard_image_17,health_1_binge_drinking_neu
17,0.0,18.0,18,1,18,18.0,4.509999999999991,18,billboard_image_18,commercial_5_furniture_emo
18,0.0,19.0,19,1,19,19.0,3.509999999999991,19,billboard_image_19,commercial_4_education_donation_neu
19,0.0,20.0,20,3,20,20.0,4.710000000000036,20,billboard_image_20,commercial_1_brunch_neu
