seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.08    	-4.91   	0.31    	24.95   	-2.99   	2.71    	0.15    	3.98    	-       	
0.21    	-16.03  	5.76    	49.72   	-2.99   	2.71    	0.16    	4.36    	-       	
0.24    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.37    	gaze started: billboard_image_1	
0.26    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.38    	-       	
0.29    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.39    	-       	
0.31    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.41    	-       	
0.34    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.40    	-       	
0.37    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.40    	-       	
0.39    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.40    	-       	
0.41    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.39    	-       	
0.44    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.37    	-       	
0.47    	-15.28  	7.25    	49.93   	-2.99   	2.71    	0.15    	4.36    	-       	
0.49    	-15.26  	7.22    	49.93   	-2.99   	2.71    	0.15    	4.35    	gaze started: billboard_image_1	
0.52    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.37    	-       	
0.54    	-18.25  	6.89    	49.13   	-2.99   	2.71    	0.15    	4.36    	-       	
0.57    	-18.02  	7.00    	49.19   	-2.99   	2.71    	0.16    	4.38    	gaze started: billboard_image_1	
0.60    	-17.92  	7.00    	49.22   	-2.99   	2.71    	0.16    	4.37    	-       	
0.62    	-17.93  	6.96    	49.22   	-2.99   	2.71    	0.16    	4.37    	-       	
0.65    	-17.93  	6.92    	49.21   	-2.99   	2.71    	0.16    	4.38    	-       	
0.68    	-17.93  	7.00    	49.22   	-2.99   	2.71    	0.16    	4.38    	-       	
0.70    	-18.05  	6.99    	49.18   	-2.99   	2.71    	0.16    	4.38    	-       	
0.73    	-18.07  	7.00    	49.18   	-2.99   	2.71    	0.15    	4.40    	-       	
0.76    	-18.04  	7.07    	49.18   	-2.99   	2.71    	0.15    	4.45    	-       	
0.79    	-17.22  	6.26    	49.40   	-2.99   	2.71    	0.15    	4.46    	-       	
0.83    	-0.88   	0.27    	-1.87   	-2.99   	2.71    	0.15    	0.00    	-       	
0.87    	-0.88   	0.27    	-1.87   	-2.99   	2.71    	0.15    	0.00    	-       	
0.92    	-0.88   	0.27    	-1.87   	-2.99   	2.71    	0.16    	0.00    	-       	
0.97    	-0.87   	0.27    	-1.88   	-2.99   	2.71    	0.16    	0.00    	-       	
1.02    	-26.48  	0.14    	690.25  	-2.99   	2.71    	0.16    	4.71    	-       	
1.07    	-8.92   	0.27    	118.11  	-2.99   	2.71    	0.16    	4.72    	-       	
1.14    	-12.75  	0.27    	232.52  	-2.99   	2.71    	0.15    	4.72    	-       	
1.18    	-9.02   	0.27    	133.69  	-2.99   	2.71    	0.15    	4.74    	-       	
1.23    	-5.26   	0.28    	29.94   	-2.99   	2.71    	0.15    	4.68    	-       	
1.28    	-5.21   	0.28    	28.21   	-2.99   	2.71    	0.15    	4.68    	-       	
1.33    	-5.20   	0.28    	31.26   	-2.99   	2.71    	0.15    	4.66    	-       	
1.38    	-5.21   	0.28    	31.19   	-2.99   	2.71    	0.15    	4.64    	-       	
1.43    	-5.23   	0.28    	31.47   	-2.99   	2.71    	0.15    	4.62    	-       	
1.47    	-5.20   	0.28    	30.59   	-2.99   	2.71    	0.15    	4.59    	-       	
1.52    	-4.94   	0.28    	23.53   	-2.99   	2.71    	0.15    	4.47    	-       	
1.56    	-4.81   	0.27    	26.37   	-2.99   	2.71    	0.15    	4.47    	-       	
1.62    	-4.80   	0.27    	26.31   	-2.99   	2.71    	0.15    	4.46    	-       	
1.67    	-4.80   	0.27    	26.44   	-2.99   	2.71    	0.15    	4.44    	-       	
1.72    	-4.75   	0.27    	25.88   	-2.99   	2.71    	0.15    	4.43    	-       	
1.76    	-4.73   	0.27    	25.93   	-2.99   	2.71    	0.15    	4.42    	-       	
1.81    	-4.69   	0.27    	25.97   	-2.99   	2.71    	0.15    	4.40    	-       	
1.85    	-4.71   	0.27    	25.99   	-2.99   	2.71    	0.15    	4.38    	-       	
1.90    	-4.70   	0.28    	25.62   	-2.99   	2.71    	0.15    	4.37    	-       	
1.94    	-4.67   	0.28    	25.17   	-2.99   	2.71    	0.15    	4.36    	-       	
2.00    	-4.70   	0.28    	25.21   	-2.99   	2.71    	0.15    	4.35    	-       	
2.04    	-4.68   	0.28    	25.56   	-2.99   	2.71    	0.15    	4.35    	-       	
2.09    	-4.68   	0.27    	25.79   	-2.99   	2.71    	0.15    	4.36    	-       	
2.14    	-4.47   	0.27    	123.67  	-2.99   	2.71    	0.15    	4.36    	-       	
2.17    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.35    	-       	
2.19    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.35    	-       	
2.21    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.34    	-       	
2.24    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.33    	-       	
2.27    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.15    	4.32    	-       	
2.29    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.16    	4.31    	-       	
2.32    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.16    	4.26    	-       	
2.34    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.16    	4.25    	-       	
2.37    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.16    	4.23    	-       	
2.42    	-4.34   	0.27    	498.41  	-2.99   	2.71    	0.16    	4.21    	-       	
2.47    	-2.91   	0.27    	426.99  	-2.99   	2.71    	0.16    	4.20    	-       	
2.50    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.16    	4.33    	-       	
2.52    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.17    	4.33    	-       	
2.54    	-15.33  	4.00    	958.44  	-2.99   	2.71    	0.18    	4.33    	-       	
2.58    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.18    	4.33    	-       	
2.60    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.20    	4.34    	-       	
2.63    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.22    	4.36    	-       	
2.66    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.24    	4.37    	-       	
2.69    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.26    	4.42    	-       	
2.71    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.29    	4.43    	-       	
2.73    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.32    	4.48    	-       	
2.76    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.34    	4.50    	-       	
2.79    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.37    	4.51    	-       	
2.81    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.42    	4.52    	-       	
2.84    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.45    	4.54    	-       	
2.87    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.50    	4.63    	-       	
2.89    	-15.57  	6.39    	49.85   	-2.99   	2.71    	0.54    	4.69    	-       	
2.92    	-16.05  	6.49    	49.72   	-2.99   	2.71    	0.58    	4.67    	gaze started: billboard_image_1	
2.94    	-16.06  	6.47    	49.72   	-2.99   	2.71    	0.64    	4.69    	-       	
2.97    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.69    	4.67    	-       	
3.00    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.74    	4.65    	-       	
3.02    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.80    	4.66    	-       	
3.05    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.85    	4.66    	-       	
3.08    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.91    	4.66    	-       	
3.10    	0.00    	0.00    	0.00    	-2.99   	2.71    	0.99    	4.67    	-       	
3.12    	-14.36  	7.25    	50.17   	-2.99   	2.71    	1.05    	4.66    	-       	
3.15    	-18.18  	7.19    	49.15   	-2.99   	2.71    	1.12    	4.61    	gaze started: billboard_image_1	
3.18    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.20    	4.66    	-       	
3.21    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.27    	4.65    	-       	
3.23    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.37    	4.65    	-       	
3.26    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.44    	4.65    	-       	
3.29    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.52    	4.65    	-       	
3.31    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.62    	4.65    	-       	
3.34    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.70    	4.66    	-       	
3.37    	-18.70  	7.17    	49.01   	-2.99   	2.71    	1.78    	4.68    	-       	
3.39    	-18.72  	7.17    	49.00   	-2.99   	2.71    	1.89    	4.68    	gaze started: billboard_image_1	
3.42    	0.00    	0.00    	0.00    	-2.99   	2.71    	1.97    	4.69    	-       	
