,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,billboard#_fixated_count,billboard#_duration,recall,recognition
0,1,burger,burger_neu,1.0,3.0,1.870000000000001,1,1
1,2,drugged_driving,drugged_driving_emo,0.0,0.0,0.0,0,0
2,3,marijuana,marijuana_emo,3.0,1.0,0.6499999999999986,0,0
3,4,sun_protection,sun_protection_neu,0.0,0.0,0.0,0,0
4,5,vaping,vaping_emo,5.0,1.0,0.6599999999999966,0,0
5,6,furniture,furniture_neu,0.0,0.0,0.0,0,0
6,7,brunch,brunch_emo,0.0,0.0,0.0,0,0
7,8,healthy_diet,healthy_diet_neu,8.0,3.0,2.6200000000000045,0,0
8,9,buckle_up,buckle_up_neu,9.0,2.0,2.339999999999989,0,1
9,10,text_driving,text_driving_neu,0.0,0.0,0.0,0,0
10,11,diabetes,diabetes_emo,11.0,1.0,1.1500000000000057,0,0
11,12,tech_addiction,tech_addiction_neu,0.0,0.0,0.0,0,0
12,13,HIV,HIV_neu,0.0,0.0,0.0,0,0
13,14,smoking,smoking_emo,0.0,0.0,0.0,0,0
14,15,binge_drinking,binge_drinking_emo,0.0,0.0,0.0,0,0
15,16,wash_hands,wash_hands_emo,0.0,0.0,0.0,0,0
16,17,vaccination,vaccination_neu,17.0,1.0,1.9000000000000057,1,1
17,18,education_donation,education_donation_emo,0.0,0.0,0.0,0,0
18,19,hotel,hotel_emo,0.0,0.0,0.0,0,0
19,20,coffee,coffee_neu,0.0,0.0,0.0,0,0
