,position_index,billboard_image_at_position_text,billboard_image_at_position_text_emotion,fix_bill,count,recall,recognition
0,1,coffee,coffee_emo,0.0,0.0,0,0
1,2,diabetes,diabetes_emo,0.0,0.0,0,0
2,3,vaccination,vaccination_neu,3.0,1.0,0,0
3,4,burger,burger_emo,4.0,2.0,0,0
4,5,binge_drinking,binge_drinking_neu,0.0,0.0,0,0
5,6,smoking,smoking_neu,6.0,1.0,0,0
6,7,furniture,furniture_emo,7.0,1.0,0,0
7,8,wash_hands,wash_hands_emo,8.0,2.0,1,1
8,9,marijuana,marijuana_neu,0.0,0.0,0,0
9,10,buckle_up,buckle_up_neu,0.0,0.0,0,0
10,11,brunch,brunch_emo,0.0,0.0,0,0
11,12,healthy_diet,healthy_diet_neu,0.0,0.0,0,0
12,13,HIV,HIV_emo,0.0,0.0,0,0
13,14,education_donation,education_donation_emo,0.0,0.0,0,0
14,15,tech_addiction,tech_addiction_emo,0.0,0.0,0,0
15,16,hotel,hotel_neu,0.0,0.0,0,0
16,17,vaping,vaping_neu,17.0,2.0,0,0
17,18,sun_protection,sun_protection_emo,0.0,0.0,0,0
18,19,text_driving,text_driving_neu,19.0,1.0,0,0
19,20,drugged_driving,drugged_driving_neu,0.0,0.0,0,0
