,subject,condition,position_index,billboard_image_at_position,billboard_emotionality,billboard#_fixated,billboard#_fixated_count,billboard#_duration,recall,recognition
0,sub001,count trash,1,text_driving,high_emo,0,0.0,0.0,0,0
1,sub001,count trash,2,burger,low_emo,1,1.0,0.379999999999999,0,0
2,sub001,count trash,3,buckle_up,low_emo,0,0.0,0.0,0,0
3,sub001,count trash,4,hotel,high_emo,0,0.0,0.0,0,0
4,sub001,count trash,5,sun_protection,high_emo,0,0.0,0.0,0,0
5,sub001,count trash,6,vaccination,high_emo,0,0.0,0.0,0,0
6,sub001,count trash,7,healthy_diet,low_emo,0,0.0,0.0,0,0
7,sub001,count trash,8,vaping,high_emo,0,0.0,0.0,0,0
8,sub001,count trash,9,HIV,high_emo,0,0.0,0.0,0,0
9,sub001,count trash,10,coffee,low_emo,0,0.0,0.0,0,0
10,sub001,count trash,11,marijuana,high_emo,0,0.0,0.0,0,0
11,sub001,count trash,12,brunch,high_emo,0,0.0,0.0,0,0
12,sub001,count trash,13,education_donation,low_emo,1,2.0,2.1000000000000227,0,0
13,sub001,count trash,14,smoking,low_emo,0,0.0,0.0,0,0
14,sub001,count trash,15,diabetes,low_emo,0,0.0,0.0,0,0
15,sub001,count trash,16,wash_hands,high_emo,0,0.0,0.0,0,0
16,sub001,count trash,17,binge_drinking,low_emo,1,1.0,0.9699999999999988,0,0
17,sub001,count trash,18,tech_addiction,high_emo,0,0.0,0.0,0,0
18,sub001,count trash,19,furniture,low_emo,0,0.0,0.0,0,0
19,sub001,count trash,20,drugged_driving,low_emo,0,0.0,0.0,0,0
0,sub002,count trash,1,text_driving,low_emo,1,4.0,3.370000000000001,1,1
1,sub002,count trash,2,burger,high_emo,1,1.0,0.5799999999999983,0,1
2,sub002,count trash,3,buckle_up,high_emo,1,2.0,1.8200000000000005,1,1
3,sub002,count trash,4,hotel,low_emo,1,2.0,1.9799999999999969,0,0
4,sub002,count trash,5,sun_protection,low_emo,1,2.0,2.1099999999999994,0,0
5,sub002,count trash,6,vaccination,low_emo,1,1.0,0.6200000000000045,0,1
6,sub002,count trash,7,healthy_diet,high_emo,1,1.0,0.960000000000008,0,0
7,sub002,count trash,8,vaping,low_emo,1,1.0,1.7199999999999989,1,1
