billboard_image_at_position_text,fix_binarized_high_emo,fix_binarized_low_emo,recall_high_emo,recall_low_emo,recognition_high_emo,recognition_low_emo,,diff_high-low emo recall,,diff_high-low_emo_recognition
HIV,14,13,1,3,10,12,,-2,,-2
binge_drinking,13,15,8,4,14,10,,4,,4
brunch,12,17,7,6,11,16,,1,,-5
buckle_up,15,14,8,7,17,15,,1,,2
burger,16,15,4,6,14,12,,-2,,2
coffee,18,14,4,3,12,8,,1,,4
diabetes,13,9,4,2,13,9,,2,,4
drugged_driving,14,13,9,6,19,11,,3,,8
education_donation,16,17,2,1,9,7,,1,,2
furniture,17,14,4,0,8,5,,4,,3
healthy_diet,18,13,3,1,13,8,,2,,5
hotel,13,13,1,4,6,11,,-3,,-5
marijuana,14,17,7,10,12,14,,-3,,-2
smoking,16,16,5,7,10,15,,-2,,-5
sun_protection,16,15,7,2,17,8,,5,,9
tech_addiction,13,15,0,1,14,11,,-1,,3
text_driving,14,17,3,3,15,13,,0,,2
vaccination,15,15,5,5,11,9,,0,,2
vaping,15,17,7,10,12,16,,-3,,-4
wash_hands,13,14,5,3,12,12,,2,,0
,,,,,,,,,,
,,,,,,,,0.5,,1.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,0.748490188
