billboard_image_at_position_text,fix_binarized_high_emo,fix_binarized_low_emo,recall_high_emo,recall_low_emo
HIV,14.0,13.0,1.0,3.0
binge_drinking,13.0,15.0,8.0,4.0
brunch,12.0,17.0,7.0,6.0
buckle_up,15.0,14.0,8.0,7.0
burger,16.0,15.0,4.0,6.0
coffee,18.0,14.0,4.0,3.0
diabetes,13.0,9.0,4.0,2.0
drugged_driving,14.0,13.0,9.0,6.0
education_donation,16.0,17.0,2.0,1.0
furniture,17.0,14.0,4.0,0.0
healthy_diet,18.0,13.0,3.0,1.0
hotel,13.0,13.0,1.0,4.0
marijuana,14.0,17.0,7.0,10.0
smoking,16.0,16.0,5.0,7.0
sun_protection,16.0,15.0,7.0,2.0
tech_addiction,13.0,15.0,0.0,1.0
text_driving,14.0,17.0,3.0,3.0
vaccination,15.0,15.0,5.0,5.0
vaping,15.0,17.0,7.0,10.0
wash_hands,13.0,14.0,5.0,3.0
